label,condition_pair_count,transformation_count
NAME:(s)-phanephos,8,3
NAME:xantphos pd g4,8,3
SMILES:C1CCC([P+](CCCC[P+](C2CCCC2)C2CCCC2)C2CCCC2)C1.F[B-](F)(F)F.F[B-](F)(F)F,7,3
NAME:c1-300,6,3
NAME:c1-310,6,3
SMILES:Fc1c(F)c(F)c(C2=C3C=CC(=N3)C(c3c(F)c(F)c(F)c(F)c3F)=c3ccc4[n]3[Mn]([Cl])[n]3c2ccc3C(c2c(F)c(F)c(F)c(F)c2F)=C2C=CC(=N2)C=4c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,6,3
NAME:c1-311,5,3
SMILES:CC(C)c1cccc(C(C)C)c1NC(=O)C(=O)O,5,3
SMILES:CN(C)CCN(C)CCN(C)C,5,3
SMILES:COc1cc(OC)c(NC(=O)Nc2cc(Cl)c(OC)cc2OC)cc1Cl,5,3
SMILES:Cc1ccc(CNC(=O)C(=O)Nc2ccc(C)cc2C)cc1,5,3
SMILES:Nc1ccccn1,5,3
NAME:c1-361,4,3
NAME:dcyppe.bf4,4,3
SMILES:C(=N[C@H]1CCCC[C@@H]1N=Cc1ccccn1)c1ccccn1,4,3
SMILES:C1CCC(P(CCCP(C2CCCCC2)C2CCCCC2)C2CCCCC2)CC1,4,3
SMILES:CC(=O)C1CCCCC1=O,4,3
SMILES:CC(C)(C)P(C1CCCC1)C(C)(C)C.[Fe].c1ccc(C2C(c3ccccc3)C(c3ccccc3)C(c3ccccc3)C2c2ccccc2)cc1,4,3
SMILES:CC(C)(C)P(CCCCCP(C(C)(C)C)C(C)(C)C)C(C)(C)C,4,3
SMILES:CC(C)c1cccc(C(C)C)c1NC(=O)C(=O)NC(c1ccccc1)c1ccccc1,4,3
SMILES:CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21.CS(=O)(=O)[O-].ClCCl.Nc1ccccc1-c1cccc[c]1[Pd+],4,3
SMILES:CNCCCNC,4,3
SMILES:CNCc1cccc(CNC)n1,4,3
SMILES:O=C(O)[C@@H]1CCCN1,4,3
SMILES:O=[N+]([O-])c1ccccc1C1=C2C=CC(=N2)C(c2ccccc2[N+](=O)[O-])=c2ccc3[n]2[Fe]([Cl])[n]2c1ccc2C(c1ccccc1[N+](=O)[O-])=C1C=CC(=N1)C=3c1ccccc1[N+](=O)[O-],4,3
SMILES:Oc1ccnc2c1ccc1c(O)ccnc12,4,3
NAME:(crotyl)chloro(ptbu3)palladium(ii),3,3
NAME:(ipr)pd(allyl)cl,3,3
NAME:dtbpb.bf4,3,3
NAME:p(t-bu)3 pd g4,3,3
NAME:pd-pepps-ipent,3,3
NAME:sphos palladacycle,3,3
NAME:xantphos pd g2,3,3
SMILES:C1CCCC1.C[C@H](C1CCCC1P(C1CCCCC1)C1CCCCC1)P(c1ccccc1)c1ccccc1.[Fe],3,3
SMILES:C1C[C@@H]2C[C@H]1CC2PC1C[C@@H]2CC[C@H]1C2.CN(C)c1ccccc1-c1cccc[c]1[Pd][Cl],3,3
SMILES:CC(C)(C)C(=O)CC(=O)C(C)(C)C,3,3
SMILES:CC(C)(C)P(C(C)(C)C)C(C)(C)C.CC(C)(C)P(C(C)(C)C)C(C)(C)C.[Br][Pd].[Br][Pd],3,3
SMILES:CCCCP(C12CC3CC(CC(C3)C1)C2)C12CC3CC(CC(C3)C1)C2.CS(=O)(=O)[O-].Nc1ccccc1-c1cccc[c]1[Pd+],3,3
SMILES:CN(C)c1ccccc1-c1ccccc1P(C(C)(C)C)C(C)(C)C,3,3
SMILES:COc1c(C(C)(C)C)cc(P(c2cc(C(C)(C)C)c(OC)c(C(C)(C)C)c2)c2ccc3c(c2-c2c(P(c4cc(C(C)(C)C)c(OC)c(C(C)(C)C)c4)c4cc(C(C)(C)C)c(OC)c(C(C)(C)C)c4)ccc4c2OCO4)OCO3)cc1C(C)(C)C,3,3
SMILES:C[C@H]1[C@@H]2OC(C)(C)O[C@@H]2[C@H](C)P1C1CCCC1.C[C@H]1[C@@H]2OC(C)(C)O[C@@H]2[C@H](C)P1C1CCCC1.[Fe],3,3
SMILES:Cc1cc(C)c(-n2ccn(-c3c(C)cc(C)cc3C)[c]2=[Pd])c(C)c1.Cc1cc(C)c(-n2ccn(-c3c(C)cc(C)cc3C)[c]2=[Pd])c(C)c1.O=C1C=CC(=O)c2ccccc21.O=C1C=CC(=O)c2ccccc21,3,3
SMILES:Nc1ccccc1-c1cccc[c]1[Pd][Cl].c1ccc(-c2ccccc2P(C2CCCCC2)C2CCCCC2)cc1,3,3
SMILES:ON=Cc1ccccn1,3,3
SMILES:Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,3,3
NAME:0,30,2
NAME:ir-93,29,2
NAME:10% pd/c (wet),19,2
SMILES:CCCCCCCCCCc1ccc(NC(=O)C2CS(=O)(=O)c3ccccc3C2=O)cc1,18,2
SMILES:C1=CCCC=CCC1.C1=CCCC=CCC1.[Ni],11,2
SMILES:Cl.N,11,2
NAME:mnbr(co)5,10,2
SMILES:CC(C)P(C(C)C)C1CCCC1.CC(C)P(C(C)C)C1CCCC1.[Fe],8,2
NAME:r-josiphossl-j009-1,7,2
SMILES:C1=CCCC=CCC1.C=C(C)[CH2][Ru][CH2]C(=C)C,7,2
SMILES:Fc1c(F)c(F)c(C2=C3C=CC(=N3)C(c3c(F)c(F)c(F)c(F)c3F)=c3ccc4[n]3[Co][n]3c2ccc3C(c2c(F)c(F)c(F)c(F)c2F)=C2C=CC(=N2)C=4c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,7,2
SMILES:c1ccc(P(CP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,7,2
SMILES:[Zn],6,2
NAME:c1-318,5,2
NAME:c1-351,5,2
NAME:c1-360,5,2
NAME:c1-368,5,2
SMILES:C1CCC([P+](CCCC[P+](C2CCCCC2)C2CCCCC2)C2CCCCC2)CC1.F[B-](F)(F)F.F[B-](F)(F)F,5,2
