transformation_signature,reaction_center_signature,reaction_type,canonical_reaction,raw_token_count,encoded_token_count,unknown_token_count,unknown_tokens,transformation_split,reaction_center_split
SMILES:COc1cc(C(=O)OCS(=O)(=O)Cc2ccccc2)cc(OC)c1OC.SMILES:Cc1cncc(Br)c1>>SMILES:Cc1cncc(Cc2ccccc2)c1,fc22fe008a7a661a,PD COUPLING,COc1cc(C(=O)OCS(=O)(=O)Cc2ccccc2)cc(OC)c1OC.Cc1cncc(Br)c1>>Cc1cncc(Cc2ccccc2)c1,77,79,0,[],valid,valid
SMILES:COc1cc(C)nc(OCc2ccccc2)c1CN1CCc2c(C)cc(I)c(Cl)c2C1=O.SMILES:Cc1cn(C)nn1>>SMILES:Cc1cc(C)c(CN2CCc3c(Br)cc(-c4c(C)nnn4C)c(Cl)c3C2=O)c(OCc2ccccc2)n1,9de804203ab27bb3,NEGISHI,COc1cc(C)nc(OCc2ccccc2)c1CN1CCc2c(C)cc(I)c(Cl)c2C1=O.Cc1cn(C)nn1>>Cc1cc(C)c(CN2CCc3c(Br)cc(-c4c(C)nnn4C)c(Cl)c3C2=O)c(OCc2ccccc2)n1,127,129,0,[],test,train
SMILES:COc1ccc(-c2noc(C(F)(F)F)c2Cl)cc1.SMILES:OB(O)c1ccc(OCc2ccccc2)cc1>>SMILES:COc1ccc(-c2noc(C(F)(F)F)c2-c2ccc(OCc3ccccc3)cc2)cc1,f0ad4005b2f46b5a,SUZUKI,COc1ccc(-c2noc(C(F)(F)F)c2Cl)cc1.OB(O)c1ccc(OCc2ccccc2)cc1>>COc1ccc(-c2noc(C(F)(F)F)c2-c2ccc(OCc3ccccc3)cc2)cc1,109,111,0,[],train,train
SMILES:COc1ccc(-c2noc(C(F)(F)F)c2I)cc1.SMILES:OB(O)c1ccc(OCc2ccccc2)cc1>>SMILES:COc1ccc(-c2noc(C(F)(F)F)c2-c2ccc(OCc3ccccc3)cc2)cc1,6575a623da45e8d1,SUZUKI,COc1ccc(-c2noc(C(F)(F)F)c2I)cc1.OB(O)c1ccc(OCc2ccccc2)cc1>>COc1ccc(-c2noc(C(F)(F)F)c2-c2ccc(OCc3ccccc3)cc2)cc1,109,111,0,[],train,valid
SMILES:COc1ccc(C2=C(C)c3ccc(OC)cc3O[C@@H]2c2ccc(OCc3ccccc3)cc2)cc1>>SMILES:COc1ccc(C2=C(C)c3ccc(OC)cc3OC2c2ccc(O)cc2)cc1,5ff907458eb886f6,HYDROGENATION,COc1ccc(C2=C(C)c3ccc(OC)cc3O[C@@H]2c2ccc(OCc3ccccc3)cc2)cc1>>COc1ccc(C2=C(C)c3ccc(OC)cc3OC2c2ccc(O)cc2)cc1,100,102,0,[],train,test
SMILES:COc1ccc(CN=C(C)c2cnccn2)cc1.SMILES:N.O=CO>>SMILES:COc1ccc(CNC(C)c2cnccn2)cc1,22c952ab1c6368c4,HYDROGENATION,COc1ccc(CN=C(C)c2cnccn2)cc1.N.O=CO>>COc1ccc(CNC(C)c2cnccn2)cc1,61,63,0,[],train,valid
SMILES:COc1ccc(CN=C(C)c2cnccn2)cc1>>SMILES:COc1ccc(CNC(C)c2cnccn2)cc1,75003b5496167900,HYDROGENATION,COc1ccc(CN=C(C)c2cnccn2)cc1>>COc1ccc(CNC(C)c2cnccn2)cc1,54,56,0,[],test,train
SMILES:COc1ccc(CN[C@@H]2CCO[C@H](C)C2)c(OC)c1>>SMILES:COc1ccc(CN[C@@H]2CCO[C@H](CO)C2)c(OC)c1,9a553b7d1c9ad22a,BIOMIMETIC OXIDATION,COc1ccc(CN[C@@H]2CCO[C@H](C)C2)c(OC)c1>>COc1ccc(CN[C@@H]2CCO[C@H](CO)C2)c(OC)c1,60,62,0,[],train,train
SMILES:COc1ccc(F)cc1C(C)=O.SMILES:N.O=CO>>SMILES:COc1ccc(F)cc1[C@@H](C)O,e58cdee16343bfe0,HYDROGENATION,COc1ccc(F)cc1C(C)=O.N.O=CO>>COc1ccc(F)cc1[C@@H](C)O,45,47,0,[],test,train
SMILES:COc1ccc(F)cc1C(C)=O.SMILES:N.O=CO>>SMILES:COc1ccc(F)cc1[C@H](C)O,e58cdee16343bfe0,HYDROGENATION,COc1ccc(F)cc1C(C)=O.N.O=CO>>COc1ccc(F)cc1[C@H](C)O,45,47,0,[],valid,train
SMILES:COc1ccc(F)cc1C(C)=O>>SMILES:COc1ccc(F)cc1[C@@H](C)O,0f7f85e80beb1d75,HYDROGENATION,COc1ccc(F)cc1C(C)=O>>COc1ccc(F)cc1[C@@H](C)O,38,40,0,[],train,train
SMILES:COc1ccc(F)cc1C(C)=O>>SMILES:COc1ccc(F)cc1[C@H](C)O,0f7f85e80beb1d75,HYDROGENATION,COc1ccc(F)cc1C(C)=O>>COc1ccc(F)cc1[C@H](C)O,38,40,0,[],train,train
SMILES:COc1ccc([S@](=O)O)cn1.SMILES:Clc1ccc2ncccc2c1>>SMILES:COc1ccc(-c2ccc3ncccc3c2)cn1,ae0c743b7f5a44a9,PD COUPLING,COc1ccc([S@](=O)O)cn1.Clc1ccc2ncccc2c1>>COc1ccc(-c2ccc3ncccc3c2)cn1,62,64,0,[],train,train
SMILES:COc1nccc(C)c1Br.SMILES:O=C1CCC(=O)N1Cl>>SMILES:COc1ncc(Cl)c(C)c1Br,9e6782c9f7c3cbae,HALOGENATION,COc1nccc(C)c1Br.O=C1CCC(=O)N1Cl>>COc1ncc(Cl)c(C)c1Br,47,49,0,[],train,train
SMILES:CS(=O)(=O)Cc1nc(C#N)cs1.SMILES:C[C@@H](Oc1cc(Br)cnc1N)c1cc(F)ccc1-n1nccn1>>SMILES:C[C@@H](Oc1cc(-c2sc(CS(C)(=O)=O)nc2C#N)cnc1N)c1cc(F)ccc1-n1nccn1,d3abbc1a533fb669,CH ACTIVATION,CS(=O)(=O)Cc1nc(C#N)cs1.C[C@@H](Oc1cc(Br)cnc1N)c1cc(F)ccc1-n1nccn1>>C[C@@H](Oc1cc(-c2sc(CS(C)(=O)=O)nc2C#N)cnc1N)c1cc(F)ccc1-n1nccn1,120,122,0,[],train,train
SMILES:CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.SMILES:C[C@@H]1[C@@H](B2[C@H]3CCC[C@@H]2CCC3)C[C@H]2C[C@@H]1C2(C)C.SMILES:N>>SMILES:CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,0e30ee84ab72415b,AMINATION,CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.C[C@@H]1[C@@H](B2[C@H]3CCC[C@@H]2CCC3)C[C@H]2C[C@@H]1C2(C)C.N>>CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,84,86,0,[],train,train
SMILES:CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.SMILES:C[C@@H]1[C@@H](B2[C@H]3CCC[C@@H]2CCC3)C[C@H]2C[C@@H]1C2(C)C.SMILES:NCc1ccccc1>>SMILES:CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,51fa59ddb3b1e588,AMINATION,CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.C[C@@H]1[C@@H](B2[C@H]3CCC[C@@H]2CCC3)C[C@H]2C[C@@H]1C2(C)C.NCc1ccccc1>>CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,93,95,0,[],test,test
SMILES:CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.SMILES:C[C@@H]1[C@@H]([B-]2[C@H]3CCC[C@@H]2CCC3)C[C@H]2C[C@@H]1C2(C)C.[Li+].SMILES:N>>SMILES:CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,0e30ee84ab72415b,AMINATION,CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.C[C@@H]1[C@@H]([B-]2[C@H]3CCC[C@@H]2CCC3)C[C@H]2C[C@@H]1C2(C)C.[Li+].N>>CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,86,88,0,[],train,train
SMILES:CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.SMILES:C[C@@H]1[C@@H]([B-]2[C@H]3CCC[C@@H]2CCC3)C[C@H]2C[C@@H]1C2(C)C.[Li+].SMILES:NCc1ccccc1>>SMILES:CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,51fa59ddb3b1e588,AMINATION,CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.C[C@@H]1[C@@H]([B-]2[C@H]3CCC[C@@H]2CCC3)C[C@H]2C[C@@H]1C2(C)C.[Li+].NCc1ccccc1>>CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,95,97,0,[],train,test
SMILES:CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.SMILES:C[C@@H]1[C@H]2C[C@@H](C[C@H]1B(Cl)[C@@H]1C[C@@H]3C[C@H]([C@H]1C)C3(C)C)C2(C)C.SMILES:N>>SMILES:CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,294d9e40cce9d4c5,AMINATION,CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.C[C@@H]1[C@H]2C[C@@H](C[C@H]1B(Cl)[C@@H]1C[C@@H]3C[C@H]([C@H]1C)C3(C)C)C2(C)C.N>>CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,93,95,0,[],train,test
SMILES:CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.SMILES:C[C@@H]1[C@H]2C[C@@H](C[C@H]1B1[C@H]3CCC[C@@H]1CCC3)C2(C)C.SMILES:N>>SMILES:CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,0e30ee84ab72415b,AMINATION,CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.C[C@@H]1[C@H]2C[C@@H](C[C@H]1B1[C@H]3CCC[C@@H]1CCC3)C2(C)C.N>>CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,84,86,0,[],valid,train
SMILES:CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.SMILES:C[C@@H]1[C@H]2C[C@@H](C[C@H]1[B-]1[C@H]3CCC[C@@H]1CCC3)C2(C)C.[Li+].SMILES:N>>SMILES:CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,0e30ee84ab72415b,AMINATION,CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.C[C@@H]1[C@H]2C[C@@H](C[C@H]1[B-]1[C@H]3CCC[C@@H]1CCC3)C2(C)C.[Li+].N>>CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,86,88,0,[],train,train
SMILES:CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.SMILES:C[C@@H]1[C@H]2C[C@@H](C[C@H]1[B-]1[C@H]3CCC[C@@H]1CCC3)C2(C)C.[Li+].SMILES:NCc1ccccc1>>SMILES:CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,51fa59ddb3b1e588,AMINATION,CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.C[C@@H]1[C@H]2C[C@@H](C[C@H]1[B-]1[C@H]3CCC[C@@H]1CCC3)C2(C)C.[Li+].NCc1ccccc1>>CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,95,97,0,[],train,test
SMILES:CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.SMILES:C[N+](C)(C)C.[BH3-].SMILES:N>>SMILES:CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,0753e59f4fee4919,AMINATION,CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.C[N+](C)(C)C.[BH3-].N>>CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,64,66,0,[],train,train
SMILES:CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.SMILES:C[N+](C)(C)C.[BH3-].SMILES:NCc1ccccc1>>SMILES:CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,0e6136324052e23a,AMINATION,CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.C[N+](C)(C)C.[BH3-].NCc1ccccc1>>CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,73,75,0,[],train,train
SMILES:CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.SMILES:N.SMILES:[BH2-]C#N.[Na+]>>SMILES:CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,953c492bd23ee8ab,AMINATION,CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.N.[BH2-]C#N.[Na+]>>CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,59,61,0,[],train,test
SMILES:CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.SMILES:N.SMILES:[BH2-]N(C)C.[Li+]>>SMILES:CS(=O)(=O)N1CC[C@@H](N)[C@H](O)C1,1e1fa58e8e434e23,AMINATION,CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.N.[BH2-]N(C)C.[Li+]>>CS(=O)(=O)N1CC[C@@H](N)[C@H](O)C1,61,63,0,[],valid,train
SMILES:CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.SMILES:N.SMILES:[BH2-]N1CCCC1.[Li+]>>SMILES:CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,1bbdb6f58223804a,AMINATION,CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.N.[BH2-]N1CCCC1.[Li+]>>CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,63,65,0,[],train,train
SMILES:CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.SMILES:N.SMILES:[BH3-].[Li+]>>SMILES:CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,3b47d63e4d78f44b,AMINATION,CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.N.[BH3-].[Li+]>>CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,56,58,0,[],train,train
SMILES:CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.SMILES:N.SMILES:[BH3-].[Na+]>>SMILES:CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,3b47d63e4d78f44b,AMINATION,CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.N.[BH3-].[Na+]>>CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,56,58,0,[],train,train
SMILES:CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.SMILES:NCc1ccccc1.SMILES:[BH2-]C#N.[Na+]>>SMILES:CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,05d2ad2f904ea1ff,AMINATION,CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.NCc1ccccc1.[BH2-]C#N.[Na+]>>CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,68,70,0,[],valid,train
SMILES:CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.SMILES:NCc1ccccc1.SMILES:[BH2-]N1CCCC1.[Li+]>>SMILES:CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,e7f413b3e4617a63,AMINATION,CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.NCc1ccccc1.[BH2-]N1CCCC1.[Li+]>>CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,72,74,0,[],valid,test
SMILES:CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.SMILES:NCc1ccccc1.SMILES:[BH2-]N1CCOCC1.[Li+]>>SMILES:CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,2fe8c95aee7f08ff,AMINATION,CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.NCc1ccccc1.[BH2-]N1CCOCC1.[Li+]>>CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,73,75,0,[],test,train
SMILES:C[C@@H](O)c1cc(F)ccc1OCCCCc1cnn(C)c1-c1cnc(N)c(OS(C)(=O)=O)c1>>SMILES:CC1Oc2cc(cnc2N)-c2c(cnn2C)CCCCOc2ccc(F)cc21,39ba948f5c2a52c3,ALKYLATION,C[C@@H](O)c1cc(F)ccc1OCCCCc1cnn(C)c1-c1cnc(N)c(OS(C)(=O)=O)c1>>CC1Oc2cc(cnc2N)-c2c(cnn2C)CCCCOc2ccc(F)cc21,100,102,0,[],train,train
SMILES:C[C@@H](Oc1cc(Br)cnc1N)c1cc(F)ccc1C(=O)N(C)Cc1cn(CC2CCC2)nn1.SMILES:[Cu][I]>>SMILES:C[C@H]1Oc2cc(cnc2N)-c2c(nnn2CC2CCC2)CN(C)C(=O)c2ccc(F)cc21,51ba32b745bfe4a8,CH ACTIVATION,C[C@@H](Oc1cc(Br)cnc1N)c1cc(F)ccc1C(=O)N(C)Cc1cn(CC2CCC2)nn1.[Cu][I]>>C[C@H]1Oc2cc(cnc2N)-c2c(nnn2CC2CCC2)CN(C)C(=O)c2ccc(F)cc21,112,114,0,[],valid,train
SMILES:C[C@@H](Oc1cc(Br)cnc1N)c1cc(F)ccc1C(=O)N(C)Cc1cn(CC2CCC2)nn1>>SMILES:C[C@H]1Oc2cc(cnc2N)-c2c(nnn2CC2CCC2)CN(C)C(=O)c2ccc(F)cc21,23b0ce9cdb41c5e5,CH ACTIVATION,C[C@@H](Oc1cc(Br)cnc1N)c1cc(F)ccc1C(=O)N(C)Cc1cn(CC2CCC2)nn1>>C[C@H]1Oc2cc(cnc2N)-c2c(nnn2CC2CCC2)CN(C)C(=O)c2ccc(F)cc21,109,111,0,[],train,train
SMILES:C[C@@H](c1c(Cl)ccc(F)c1Cl)n1ccc2ncc(Cl)nc21.SMILES:Cc1n[nH]c(C)c1B1OC(C)(C)C(C)(C)O1>>SMILES:Cc1n[nH]c(C)c1-c1cnc2ccn([C@H](C)c3c(Cl)ccc(F)c3Cl)c2n1,10ab4a3841ce983e,SUZUKI,C[C@@H](c1c(Cl)ccc(F)c1Cl)n1ccc2ncc(Cl)nc21.Cc1n[nH]c(C)c1B1OC(C)(C)C(C)(C)O1>>Cc1n[nH]c(C)c1-c1cnc2ccn([C@H](C)c3c(Cl)ccc(F)c3Cl)c2n1,113,115,0,[],test,train
SMILES:C[C@H](C(=O)Nc1nnc(CCSCCc2nnc(NC(=O)[C@H](C)c3cccnc3)s2)s1)c1cccnc1.SMILES:C[Si]c1ccccc1>>SMILES:C[C@H](C(=O)Nc1nnc(CCSCCc2nnc(NC[C@H](C)c3cccnc3)s2)s1)c1cccnc1,5cc1478642813bb7,SILANE REDUCTION,C[C@H](C(=O)Nc1nnc(CCSCCc2nnc(NC(=O)[C@H](C)c3cccnc3)s2)s1)c1cccnc1.C[Si]c1ccccc1>>C[C@H](C(=O)Nc1nnc(CCSCCc2nnc(NC[C@H](C)c3cccnc3)s2)s1)c1cccnc1,126,128,0,[],valid,train
SMILES:C[C@H](C(=O)Nc1nnc(CCSCCc2nnc(NC(=O)[C@H](C)c3cccnc3)s2)s1)c1cccnc1.SMILES:[Si]c1ccccc1>>SMILES:C[C@H](C(=O)Nc1nnc(CCSCCc2nnc(NC[C@H](C)c3cccnc3)s2)s1)c1cccnc1,b42cbd92dbbeb751,SILANE REDUCTION,C[C@H](C(=O)Nc1nnc(CCSCCc2nnc(NC(=O)[C@H](C)c3cccnc3)s2)s1)c1cccnc1.[Si]c1ccccc1>>C[C@H](C(=O)Nc1nnc(CCSCCc2nnc(NC[C@H](C)c3cccnc3)s2)s1)c1cccnc1,125,127,0,[],valid,train
SMILES:C[C@H]1C=CC(=O)CC1.SMILES:Cc1c(Cl)cc2c(cnn2[C@H]2CCCCO2)c1B1OC(C)(C)C(C)(C)O1>>SMILES:Cc1ccc2c(cnn2C2CCCCO2)c1C1CCc2c(ncnc2N2CCN(C(=O)OC(C)(C)C)CC2)C1,84ae4ddef6974a33,RH COUPLING,C[C@H]1C=CC(=O)CC1.Cc1c(Cl)cc2c(cnn2[C@H]2CCCCO2)c1B1OC(C)(C)C(C)(C)O1>>Cc1ccc2c(cnn2C2CCCCO2)c1C1CCc2c(ncnc2N2CCN(C(=O)OC(C)(C)C)CC2)C1,126,128,0,[],train,train
SMILES:C[C@H]1Oc2cc(cnc2N)-c2cc(S(C)(=O)=O)ccc2CN(C)C(=O)c2ccc(F)cc21.SMILES:C[Si](C)O[Si](C)C>>SMILES:C[C@H]1Oc2cc(cnc2N)-c2cc(S(C)(=O)=O)ccc2CN(C)Cc2ccc(F)cc21,e5deaab0163d0e74,SILANE REDUCTION,C[C@H]1Oc2cc(cnc2N)-c2cc(S(C)(=O)=O)ccc2CN(C)C(=O)c2ccc(F)cc21.C[Si](C)O[Si](C)C>>C[C@H]1Oc2cc(cnc2N)-c2cc(S(C)(=O)=O)ccc2CN(C)Cc2ccc(F)cc21,125,127,0,[],train,test
SMILES:C[C@H]1Oc2cc(cnc2N)-c2cc(S(C)(=O)=O)ccc2CN(C)C(=O)c2ccc(F)cc21.SMILES:C[Si]1O[Si](C)O[Si](C)O[Si](C)O[Si](C)O1>>SMILES:C[C@H]1Oc2cc(cnc2N)-c2cc(S(C)(=O)=O)ccc2CN(C)Cc2ccc(F)cc21,2f7995c4cca573ef,SILANE REDUCTION,C[C@H]1Oc2cc(cnc2N)-c2cc(S(C)(=O)=O)ccc2CN(C)C(=O)c2ccc(F)cc21.C[Si]1O[Si](C)O[Si](C)O[Si](C)O[Si](C)O1>>C[C@H]1Oc2cc(cnc2N)-c2cc(S(C)(=O)=O)ccc2CN(C)Cc2ccc(F)cc21,139,141,0,[],train,train
SMILES:C[C@H]1Oc2cc(cnc2N)-c2cc(S(C)(=O)=O)ccc2CN(C)C(=O)c2ccc(F)cc21.SMILES:C[Si]c1ccccc1>>SMILES:C[C@H]1Oc2cc(cnc2N)-c2cc(S(C)(=O)=O)ccc2CN(C)Cc2ccc(F)cc21,82fb4a860c1e04dd,SILANE REDUCTION,C[C@H]1Oc2cc(cnc2N)-c2cc(S(C)(=O)=O)ccc2CN(C)C(=O)c2ccc(F)cc21.C[Si]c1ccccc1>>C[C@H]1Oc2cc(cnc2N)-c2cc(S(C)(=O)=O)ccc2CN(C)Cc2ccc(F)cc21,124,126,0,[],train,valid
SMILES:C[C@H]1Oc2cc(cnc2N)-c2cc(S(C)(=O)=O)ccc2CN(C)C(=O)c2ccc(F)cc21.SMILES:[Si]c1ccccc1>>SMILES:C[C@H]1Oc2cc(cnc2N)-c2cc(S(C)(=O)=O)ccc2CN(C)Cc2ccc(F)cc21,4440406685fb697d,SILANE REDUCTION,C[C@H]1Oc2cc(cnc2N)-c2cc(S(C)(=O)=O)ccc2CN(C)C(=O)c2ccc(F)cc21.[Si]c1ccccc1>>C[C@H]1Oc2cc(cnc2N)-c2cc(S(C)(=O)=O)ccc2CN(C)Cc2ccc(F)cc21,123,125,0,[],train,train
SMILES:C[C@H]1Oc2cc(cnc2N)-c2cc(S(C)(=O)=O)ccc2CN(C)C(=O)c2ccc(F)cc21.SMILES:c1ccc([Si]c2ccccc2)cc1>>SMILES:C[C@H]1Oc2cc(cnc2N)-c2cc(S(C)(=O)=O)ccc2CN(C)Cc2ccc(F)cc21,014e5c1d10282306,SILANE REDUCTION,C[C@H]1Oc2cc(cnc2N)-c2cc(S(C)(=O)=O)ccc2CN(C)C(=O)c2ccc(F)cc21.c1ccc([Si]c2ccccc2)cc1>>C[C@H]1Oc2cc(cnc2N)-c2cc(S(C)(=O)=O)ccc2CN(C)Cc2ccc(F)cc21,133,135,0,[],train,test
SMILES:C[C@]1(N)CCNC1=O>>SMILES:C[C@]1(N)CCNC1=O,4f53cda18c2baa0c,SOLID FORM,C[C@]1(N)CCNC1=O>>C[C@]1(N)CCNC1=O,27,29,0,[],train,train
SMILES:C[C@]1(N2CCc3c(-c4cnc(N)nc4)nc(N4CCOCC4)nc32)CCN(C(=O)OCc2ccccc2)C1>>SMILES:CC1(N2CCc3c(-c4cnc(N)nc4)nc(N4CCOCC4)nc32)CCNC1,cea73b930f4080df,HYDROGENATION,C[C@]1(N2CCc3c(-c4cnc(N)nc4)nc(N4CCOCC4)nc32)CCN(C(=O)OCc2ccccc2)C1>>CC1(N2CCc3c(-c4cnc(N)nc4)nc(N4CCOCC4)nc32)CCNC1,112,114,0,[],train,train
SMILES:C[C@]1(c2ccc(Cl)nc2O)CCCNC1=O.SMILES:OB(O)c1cnc2ccccc2c1>>SMILES:C[C@]1(c2ccc(-c3cnc4ccccc4c3)nc2O)CCCNC1=O,7804a5ac448ca149,SUZUKI,C[C@]1(c2ccc(Cl)nc2O)CCCNC1=O.OB(O)c1cnc2ccccc2c1>>C[C@]1(c2ccc(-c3cnc4ccccc4c3)nc2O)CCCNC1=O,85,87,0,[],train,test
SMILES:C[Si](C)(C)[N]([Na])[Si](C)(C)C.SMILES:Cc1c(Br)cncc1Br>>SMILES:Cc1c(Br)cncc1C#N,33585493debd4f95,CYANATION,C[Si](C)(C)[N]([Na])[Si](C)(C)C.Cc1c(Br)cncc1Br>>Cc1c(Br)cncc1C#N,50,52,0,[],train,test
SMILES:Cc1c(Br)cncc1Br.SMILES:N#[C][Cu]>>SMILES:Cc1c(Br)cncc1C#N,93e5273250794c34,CYANATION,Cc1c(Br)cncc1Br.N#[C][Cu]>>Cc1c(Br)cncc1C#N,34,36,0,[],train,train
SMILES:Cc1c([N+](=O)[O-])cnc2c1c(C1=CCN(C(=O)OC(C)(C)C)C(C)(C)C1)cn2C>>SMILES:Cc1c(N)cnc2c1c(C1CCN(C(=O)OC(C)(C)C)C(C)(C)C1)cn2C,095dacaddd1d05ce,HYDROGENATION,Cc1c([N+](=O)[O-])cnc2c1c(C1=CCN(C(=O)OC(C)(C)C)C(C)(C)C1)cn2C>>Cc1c(N)cnc2c1c(C1CCN(C(=O)OC(C)(C)C)C(C)(C)C1)cn2C,107,109,0,[],train,train
SMILES:Cc1c[nH]cn1.SMILES:O=C1OCCn2c1ccc(Br)c2=O>>SMILES:Cc1cn(-c2ccc3n(c2=O)CCOC3=O)cn1,6c3d6558c02b6a0d,BUCHWALD,Cc1c[nH]cn1.O=C1OCCn2c1ccc(Br)c2=O>>Cc1cn(-c2ccc3n(c2=O)CCOC3=O)cn1,62,64,0,[],train,train
SMILES:Cc1cc(B2OC(C)(C)C(C)(C)O2)ccn1.SMILES:Ic1ccc2ncccc2c1>>SMILES:Cc1cc(-c2ccc3ncccc3c2)ccn1,5edd01c8533f535f,SUZUKI,Cc1cc(B2OC(C)(C)C(C)(C)O2)ccn1.Ic1ccc2ncccc2c1>>Cc1cc(-c2ccc3ncccc3c2)ccn1,73,75,0,[],train,valid
SMILES:Cc1cc(C(=O)N[C@@H](CCc2nnnn2Cc2ccccc2)C(=O)OCc2ccccc2)sc1CC[C@H]1CNc2nc(N)[nH]c(=O)c2C1>>SMILES:Cc1cc(C(=O)N[C@@H](CCc2nnn[nH]2)C(=O)O)sc1CC[C@H]1CNc2nc(N)[nH]c(=O)c2C1,1b0909e5d9399323,HYDROGENATION,Cc1cc(C(=O)N[C@@H](CCc2nnnn2Cc2ccccc2)C(=O)OCc2ccccc2)sc1CC[C@H]1CNc2nc(N)[nH]c(=O)c2C1>>Cc1cc(C(=O)N[C@@H](CCc2nnn[nH]2)C(=O)O)sc1CC[C@H]1CNc2nc(N)[nH]c(=O)c2C1,133,135,0,[],train,train
SMILES:Cc1cc(C)c(CN2CCc3c(Br)cc(I)c(Cl)c3C2=O)c(OCc2ccccc2)n1.SMILES:Cc1cn(C)nn1>>SMILES:Cc1cc(C)c(CN2CCc3c(Br)cc(-c4c(C)nnn4C)c(Cl)c3C2=O)c(OCc2ccccc2)n1,c82f349090de47b5,NEGISHI,Cc1cc(C)c(CN2CCc3c(Br)cc(I)c(Cl)c3C2=O)c(OCc2ccccc2)n1.Cc1cn(C)nn1>>Cc1cc(C)c(CN2CCc3c(Br)cc(-c4c(C)nnn4C)c(Cl)c3C2=O)c(OCc2ccccc2)n1,128,130,0,[],train,test
